date,store_id,product_id,on_hand_inventory,units_sold,price,promotion,holiday,day_of_week,lead_time_days,stockout_flag
2023-01-01,1,101,62,57,47.57,0,1,6,7,0
2023-01-01,1,102,37,32,52.82,0,1,6,5,0
2023-01-01,1,103,51,28,53.7,0,1,6,7,0
2023-01-01,1,104,71,37,56.06,0,1,6,7,0
2023-01-01,1,105,43,35,56.15,0,1,6,3,0
2023-01-01,1,106,88,66,53.33,0,1,6,3,0
2023-01-01,1,107,102,59,56.75,0,1,6,3,0
2023-01-01,1,108,52,37,56.46,0,1,6,7,0
2023-01-01,1,109,64,37,52.71,0,1,6,3,0
2023-01-01,1,110,57,41,52.22,0,1,6,5,0
2023-01-01,2,101,79,77,45.75,0,1,6,3,0
2023-01-01,2,102,39,35,46.8,0,1,6,3,0
2023-01-01,2,103,52,28,49.11,0,1,6,3,0
2023-01-01,2,104,104,55,53.47,0,1,6,5,0
2023-01-01,2,105,49,39,56.46,0,1,6,5,0
2023-01-01,2,106,106,89,56.34,0,1,6,5,0
2023-01-01,2,107,82,82,57.93,0,1,6,7,1
2023-01-01,2,108,53,50,58.53,0,1,6,3,0
2023-01-01,2,109,64,43,57.45,0,1,6,3,0
2023-01-01,2,110,78,50,56.69,0,1,6,7,0
2023-01-01,3,101,84,50,51.92,0,1,6,3,0
2023-01-01,3,102,43,23,53.56,0,1,6,7,0
2023-01-01,3,103,54,21,52.03,0,1,6,3,0
2023-01-01,3,104,58,33,53.73,0,1,6,7,0
2023-01-01,3,105,37,32,53.77,0,1,6,5,0
2023-01-01,3,106,96,52,53.93,0,1,6,7,0
2023-01-01,3,107,76,58,55.71,0,1,6,7,0
2023-01-01,3,108,41,28,52.59,0,1,6,5,0
2023-01-01,3,109,33,29,55.11,0,1,6,5,0
2023-01-01,3,110,45,31,49.95,0,1,6,3,0
2023-01-02,1,101,54,27,52.06,0,0,0,5,0
2023-01-02,1,102,30,27,53.13,0,0,0,5,0
2023-01-02,1,103,23,23,53.51,0,0,0,5,1
2023-01-02,1,104,30,30,47.32,0,0,0,5,1
2023-01-02,1,105,25,24,49.85,0,0,0,7,0
2023-01-02,1,106,66,37,56.5,0,0,0,3,0
2023-01-02,1,107,56,51,55.17,0,0,0,5,0
2023-01-02,1,108,21,21,55.99,0,0,0,7,1
2023-01-02,1,109,38,18,56.9,0,0,0,3,0
2023-01-02,1,110,43,26,49.54,0,0,0,5,0
2023-01-02,2,101,79,52,47.49,0,0,0,3,0
2023-01-02,2,102,32,20,54.6,0,0,0,7,0
2023-01-02,2,103,42,29,51.84,0,0,0,7,0
2023-01-02,2,104,52,52,55.61,1,0,0,7,1
2023-01-02,2,105,46,29,52.37,0,0,0,3,0
2023-01-02,2,106,17,17,56.62,0,0,0,7,1
2023-01-02,2,107,92,62,56.12,0,0,0,3,0
2023-01-02,2,108,35,25,51.55,1,0,0,3,0
2023-01-02,2,109,37,28,57.0,0,0,0,3,0
2023-01-02,2,110,41,27,55.96,0,0,0,3,0
2023-01-02,3,101,47,28,49.64,0,0,0,3,0
